YEAR,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2010,713.910,4785.437,2921.964,6407.172,37319.502,5047.349,3579.114,899.593,18845.537,9711.881,1363.963,3050.745,1570.746,12840.503,6490.432,2858.190,4348.181,4544.532,6566.307,5788.645,1327.629,9877.51,5310.828,5995.974,2970.548,990.697,9574.323,674.715,1829.542,1316.762,8799.446,2064.552,2702.405,19399.878,11539.336,3759.944,3837.491,12711.16,1053.959,4635.649,816.166,6355.311,25241.971,2775.332,8023.699,625.879,6742.83,5690.475,1854.239,564.487
2011,722.128,4799.069,2940.667,6472.643,37638.369,5121.108,3588.283,907.381,19053.237,9802.431,1379.329,3066.336,1583.910,12867.454,6516.528,2869.225,4369.821,4575.625,6613.583,5839.419,1328.284,9882.412,5346.143,6010.275,2978.731,997.316,9657.592,685.225,1840.672,1320.202,8828.117,2080.45,2712.73,19499.241,11544.663,3788.379,3872.036,12745.815,1053.649,4671.994,823.579,6399.291,25645.629,2814.384,8101.155,627.049,6826.627,5705.288,1856.301,567.299
2012,730.443,4815.588,2952.164,6554.978,37948.800,5192.647,3594.547,915.179,19297.822,9901.430,1394.804,3076.190,1595.324,12882.510,6537.703,2885.257,4386.346,4600.972,6663.005,5886.992,1327.729,9897.145,5376.643,6024.367,2983.816,1003.783,9749.476,701.176,1853.303,1324.232,8844.942,2087.309,2743.996,19572.932,11548.923,3818.814,3899.001,12767.118,1054.621,4717.354,833.566,6453.898,26084.481,2853.375,8185.08,626.09,6897.058,5719.96,1856.872,576.305
2013,737.068,4830.081,2959.400,6632.764,38260.787,5269.035,3594.841,923.576,19545.621,9972.479,1408.243,3092.997,1611.206,12895.129,6568.713,2893.212,4404.659,4624.527,6713.315,5923.188,1328.009,9913.065,5413.479,6040.715,2988.711,1013.569,9843.336,722.036,1865.279,1326.622,8856.972,2092.273,2775.97,19624.447,11576.684,3853.214,3922.468,12776.309,1055.081,4764.08,842.316,6494.34,26480.266,2897.64,8252.427,626.21,6963.985,5736.754,1853.914,582.122
2014,736.283,4841.799,2967.392,6730.413,38596.972,5350.101,3594.524,932.487,19845.911,10067.278,1414.538,3109.350,1631.112,12884.493,6593.644,2900.475,4414.349,4644.013,6762.596,5957.283,1330.513,9929.848,5451.079,6056.202,2990.468,1021.869,9932.887,737.401,1879.321,1333.341,8864.525,2089.568,2817.628,19651.049,11602.7,3878.187,3963.244,12788.313,1055.936,4823.617,849.129,6541.223,26964.333,2936.879,8310.993,625.214,7054.655,5751.525,1849.489,582.531
2015,737.498,4852.347,2978.048,6829.676,38918.045,5450.623,3587.122,941.252,20209.042,10178.447,1422.052,3120.960,1651.059,12858.913,6608.422,2909.011,4425.976,4664.628,6794.228,5985.562,1328.262,9931.715,5482.032,6071.732,2988.471,1030.475,10031.646,754.066,1891.277,1336.35,8867.949,2089.291,2866.939,19654.666,11617.527,3909.5,4015.792,12784.826,1056.065,4891.938,853.988,6591.17,27470.056,2981.835,8361.808,625.216,7163.657,5760.94,1842.05,585.613
2016,741.456,4863.525,2989.918,6941.072,39167.117,5539.215,3578.141,948.921,20613.477,10301.890,1427.559,3131.371,1682.380,12820.527,6634.304,2910.844,4438.182,4678.135,6823.608,6003.323,1331.317,9950.571,5522.744,6087.135,2987.938,1040.859,10154.788,754.434,1905.616,1342.307,8870.827,2091.63,2917.563,19633.428,11634.37,3926.331,4089.976,12782.275,1056.77,4957.968,862.996,6646.01,27914.41,3041.868,8410.106,623.657,7294.771,5772.628,1831.023,584.215
2017,739.700,4874.486,3001.345,7044.008,39358.497,5611.885,3573.297,956.823,20963.613,10410.330,1424.393,3141.550,1717.715,12778.828,6658.078,2908.718,4452.268,4670.560,6859.789,6023.868,1334.612,9973.114,5566.23,6106.67,2988.51,1052.482,10268.233,754.942,1915.947,1348.787,8885.525,2091.784,2969.905,19589.572,11659.65,3931.316,4143.625,12787.641,1055.673,5021.268,872.868,6708.799,28295.273,3101.042,8463.587,624.344,7423.362,5790.186,1817.004,578.931
2018,735.139,4887.681,3009.733,7158.024,39461.588,5691.287,3571.520,965.479,21244.317,10511.131,1420.593,3148.618,1750.536,12723.071,6695.497,2911.359,4461.153,4659.690,6882.635,6035.802,1339.057,9984.072,5606.249,6121.623,2981.02,1060.665,10381.615,758.08,1925.614,1353.465,8886.025,2092.741,3027.341,19530.351,11676.341,3940.235,4181.886,12800.922,1058.287,5084.156,878.698,6771.631,28628.666,3153.55,8501.286,624.358,7523.869,5807.406,1804.291,577.601
2019,731.545,4903.185,3017.804,7278.717,39512.223,5758.736,3565.287,973.764,21477.737,10617.423,1415.872,3155.070,1787.065,12671.821,6732.219,2913.314,4467.673,4648.794,6892.503,6045.680,1344.212,9986.857,5639.632,6137.428,2976.149,1068.778,10488.084,762.062,1934.408,1359.711,8882.19,2096.829,3080.156,19453.561,11689.1,3956.971,4217.737,12801.989,1059.361,5148.714,884.659,6829.174,28995.881,3205.958,8535.519,623.989,7614.893,5822.434,1792.147,578.759
