X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,SCHOOLYEAR
-85.989151,34.02381,1,33,ST JAMES CATHOLIC SCHOOL,511 EWING AVE,GADSDEN,AL,35901,1,1055,2019-2020
-87.529118,33.173709,2,44,HOLY SPIRIT CATHOLIC SCHOOL,601 JAMES I HARRISON JR PKWY E,TUSCALOOSA,AL,35405,1,1125,2019-2020
-86.603421,34.73449,3,55,HOLY FAMILY PAROCHIAL SCHOOL,2300 BEASLEY AVE NW,HUNTSVILLE,AL,35816,1,1089,2019-2020
-86.572216,34.690402,4,77,HOLY SPIRIT REGIONAL CATHOLIC SCHOOL,619 AIRPORT RD SW,HUNTSVILLE,AL,35802,1,1089,2019-2020
-86.841558,34.177923,5,135,SACRED HEART ELEMENTARY,112 2ND AVE SE,CULLMAN,AL,35055,1,1043,2019-2020
-86.787521,33.49863,6,146,ST ROSE OF LIMA SCHOOL,1401 22ND ST S,BIRMINGHAM,AL,35205,1,1073,2019-2020
-86.72629,33.565002,7,204,ST BARNABAS REGIONAL SCHOOL,7901 1ST AVE N,BIRMINGHAM,AL,35206,1,1073,2019-2020
-86.83279,33.443934,8,226,JOHN CARROLL CATHOLIC HIGH SCHOOL,300 LAKESHORE PKWY,BIRMINGHAM,AL,35209,1,1073,2019-2020
-86.829021,33.487602,9,237,HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL,1832 CENTER WAY S,BIRMINGHAM,AL,35205,1,1073,2019-2020
-85.814418,33.717914,10,306,SACRED HEART CATHOLIC SCHOOL,16 MORTON RD,ANNISTON,AL,36205,1,1015,2019-2020
-88.1131,30.678372,11,474,ST PIUS X SCHOOL,217 S SAGE AVE,MOBILE,AL,36606,1,1097,2019-2020
-88.07105,30.690725,12,496,ST MARY CATHOLIC SCHOOL,107 N LAFAYETTE ST,MOBILE,AL,36604,1,1097,2019-2020
-88.139911,30.706489,13,532,ST IGNATIUS CATHOLIC SCHOOL,3650 SPRING HILL AVE,MOBILE,AL,36608,1,1097,2019-2020
